statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13
New Hampshire,33,1,1,1,4,0,0.03083505,346,4.016210079,0.064948234,533,0.573680043,0.097636462,689,2.15475297,0.071398506,672,0.08587458,0.065587079,2003,1.969918489,0.186215236,29,1.098354816,0.062582129,91,0.374185771,0.148994648,117,2.000677347,0.055846632,633,1.52091527,0.121121738,224,1.741425157,0.073790527,219,0.075895295,0.06865679,1164,0.511447668,0.10497768,382,1.766635537,0.089877986,258,0.937689424,0.085995281,320,0.751975358,0.054229755,1280,2.718109846,0.057513325,827,1.789516807,0.100522937,871,2.518032789,0.067946893,1541,2.061146736,0.211452652,69,1.781533957,0.092491503,396,0.94066602,161,0.217785948,0.475728155,0.306485896,0,0,0,0.101510886,0.374217269,0.072296312,17407,6.233908176,0.155309883,37945
New Jersey,34,1,0,0,1,3,0.05063876,2144,9.381980896,0.103481432,3206,1.082712889,0.12988521,4581,3.648241997,0.121090442,5277,2.22153163,0.06053267,8252,14.42900562,0.108354925,1576,0.219920993,0.235615758,3023,16.25167847,0.07089761,2357,5.914319992,0.106325671,4674,0.782043397,0.169364565,1685,5.854312897,0.107520625,1475,0.264253676,0.096867975,7374,3.86601758,0.174395787,3095,8.625442505,0.173061671,1649,5.733890057,0.127112878,1889,1.804421902,0.064353953,8575,14.05948257,0.110349378,14823,0.049679346,,,,0.095886852,9764,8.310203552,0.198400549,593,3.832371235,0.165395114,3227,6.66852951,1361,0.172682715,0.669417817,0.157899468,0,0,0,0.498506342,0.170911475,0.110370186,189133,1.972400546,0.191619624,328478
New Mexico,35,1,1,0,1,0,0.067774432,474,3.686636925,0.140947209,724,1.276968718,0.118264821,1033,0.228976801,0.132431052,1012,0.943132579,0.069809987,981,4.619813442,0.095869356,34,0.406198889,0.139948101,1441,2.560544252,0.160043512,787,2.300675869,0.109447122,850,0.824837387,0.123781104,694,0.176171795,0.172048543,269,1.680168033,0.116767283,1430,0.487278908,0.146995553,947,1.993859887,0.143142334,516,1.054754138,0.099223014,555,1.450927854,0.101728319,1225,1.89041388,0.119321298,1956,0.310639471,0.124555876,706,0.221393332,0.109913533,1851,2.614518404,0.165551068,153,0.873986661,0.16068767,895,2.253896236,367,0.275702493,0.508901026,0.215396481,0,0,0,0.283894772,0.225006254,0.121066817,47972,0.504100978,0.287421526,114000
New York,36,1,1,0,1,4,0.031310084,4804,12.06146622,0.067094743,8516,1.078998804,0.083256836,11221,4.664047241,0.074887101,11828,1.578504086,0.042260273,20696,15.6625433,0.080347192,4492,2.019727945,0.122820933,6141,12.12655735,0.081393575,5040,2.274386644,0.064895387,9355,1.863448024,0.07798094,4399,1.589991331,0.081882841,3471,1.729977727,0.069238812,19144,0.805420995,0.099544022,8359,7.980226517,0.093066131,4681,4.505402565,0.078509431,5361,1.72639358,0.046740176,17968,12.71938038,0.071494388,31345,1.895475626,0.055749645,1928,2.058781147,0.061699043,23048,9.41017437,0.118968608,1371,4.006340027,0.103099004,8550,7.751442432,2231,0.209171345,0.604871722,0.185956933,0,0,0,0.398770521,0.206101201,0.070607244,281420,25.85007095,0.139255152,560855
North Carolina,37,0,1,0,2,0,0.064893953,2647,12.70772934,0.150591023,4062,0.124183968,0.174175332,5231,4.207086086,0.161950857,6023,2.342062235,0.107672407,11440,12.84309864,0.139090994,3378,1.553252101,0.421937866,1710,19.37499237,0.109892646,1435,3.823036909,0.127499129,5291,4.014959812,0.221983336,2653,7.93183136,0.125991688,1839,2.237399817,0.140620275,8180,2.261307478,0.245925522,4138,13.20746517,0.210081299,2414,5.885932922,0.131712736,3025,2.38709569,0.083640165,8386,16.92468071,0.140787896,12415,3.754760027,0.169262648,2707,2.062915087,0.133450146,11088,9.113573074,0.298060912,772,6.626479626,0.19986954,4295,5.776252747,2244,0.06451035,0.445281992,0.299918052,0.190289606,0,0.059470686,0.243071707,0.202210286,0.149745902,301409,9.118612289,0.230828967,452994
North Dakota,38,1,0,1,4,3,0.113468925,177,0.151788071,0.13654976,307,1.228423357,0.107000743,389,0.057202682,0.080933361,393,1.425047994,0.087989939,1081,2.754757881,0.030355973,19,2.337015152,0.183673469,41,0.799843669,0.271019489,125,3.35137701,0.033922524,476,5.489212036,0.251142795,142,3.068041086,0.110333841,117,0.058325797,0.126800334,531,1.200459838,0.229724031,192,3.055853605,0.132940927,150,0.771608114,0.130878095,223,0.647029579,0.062140173,701,3.76483798,0.10175229,252,0.281873673,0.09792691,280,0.37626946,0.081152981,870,3.166857004,0.546411483,33,3.603026867,0.159164324,237,1.784817219,117,0.288280747,0.35363812,0.358081133,0,0,0,0.080618158,0.273019961,0.108034031,15530,0.695611775,0.138553572,19409
Ohio,39,1,0,0,1,3,0.051113604,2989,3.804936647,0.083139095,4734,2.296642542,0.078872186,6095,1.860998392,0.065612004,6567,1.787908792,0.062563076,16505,5.589878082,0.083784676,1914,1.63199079,0.199807386,778,6.964234352,0.065855959,1188,0.674109578,0.058086471,6054,3.714756012,0.076831397,3091,0.865816176,0.066321798,1840,0.719852746,0.079400518,9400,2.754380465,0.110678847,4397,7.25630331,0.1031555,3000,4.439802647,0.069344589,3526,0.48923409,0.042247313,9462,11.22443962,0.069165231,15196,2.059331656,0.082458088,3964,1.927666903,0.062194579,13403,6.853890896,0.124738607,744,3.086563826,0.105209393,4165,5.521349907,1290,0.326488538,0.339326482,0.33418498,0,0,0,0.105372332,0.23395415,0.071890391,158125,18.2746315,0.143114719,315593
Oklahoma,40,0,1,0,2,0,0.097154008,1012,8.284952164,0.223544301,1584,1.660124302,0.205270382,1944,0.309920639,0.229874231,2137,2.695977449,0.141137575,4188,10.60657501,0.250178305,375,1.481050134,0.358994303,677,7.073243618,0.280438187,1437,5.484537601,0.173291964,2231,3.040116072,0.302038737,1102,5.911519527,0.145701569,654,3.295435667,0.196108821,2690,0.727607965,0.299186454,1540,7.321591377,0.271828404,1084,4.016893387,0.180397353,1264,1.614156127,0.12877583,2789,9.482902527,0.181308578,3021,3.559952259,0.228967213,1055,1.484885216,0.170920028,3920,8.009969711,0.420645928,287,5.457428455,0.283905533,1729,5.695734501,1360,0.060956875,0.362085394,0.386140154,0.190817577,0,0.061099479,0.123119405,0.238965989,0.202106308,154273,12.5440588,0.258217015,196907
Oregon,41,1,1,0,1,0,0.032989143,923,6.935918808,0.096445647,1560,0.969189048,0.095748041,2227,1.24443543,0.092786434,2512,0.829302609,0.064931896,5321,6.266284943,0.095074535,97,0.173920572,0.199843487,938,7.161621094,0.068724784,866,1.828593493,0.085960402,2190,0.177139297,0.118503079,815,2.309180737,0.071748979,826,1.359289646,0.083220184,3391,0.829272449,0.130403881,1383,3.963284492,0.134365886,1035,3.634432077,0.085679216,1238,0.161638781,0.053901122,3566,6.987798214,0.086791832,5053,0.191050038,0.112181974,907,1.832244992,0.08365307,4758,2.733791351,0.133384041,236,1.609448433,0.112034038,1590,2.128772736,546,0.219494185,0.494880788,0.285625027,0,0,0,0.260433677,0.234447111,0.087290392,70421,6.419317722,0.205280322,157683
Pennsylvania,42,1,1,0,1,0,0.045697802,3154,3.988782406,0.072098583,5419,0.97708571,0.075764924,6299,2.1051054,0.065825055,6800,0.523642421,0.05894266,17364,4.846069813,0.070033177,1604,0.31091091,0.130573989,1318,5.26766634,0.072495801,1386,0.539394557,0.066184124,6251,0.401376456,0.079571574,2780,1.761630058,0.070737727,1909,0.376385927,0.064544136,10732,1.282921672,0.090929247,4744,4.600090027,0.10907319,2901,5.353425026,0.068627176,3607,0.161553249,0.043181968,10420,9.378499985,0.066498555,16512,1.425209522,0.088881436,2497,2.490912199,0.057490258,13948,6.844509602,0.140848833,802,3.980549812,0.094938569,4736,4.796706676,1301,0.288917656,0.421492541,0.289589803,0,0,0,0.173768819,0.247723722,0.067777886,160679,19.93688202,0.13513157,325801
